GEO_ID,NAME,COMMUTERS,B08541_006E,B08541_006P,B08541_016E,B08541_016P,B08541_021E,B08541_021P,B08541_026E,B08541_026P,B08541_031E,B08541_031P
0500000US28151,"Washington County, Mississippi",15462.0,14882,0.9624886819298927,6,0.00038804811796662784,215,0.013905057560470831,166,0.010735997930410038,193,0.012482214461259862
0500000US28111,"Perry County, Mississippi",2884.0,2527,0.8762135922330098,0,0.0,69,0.0239251040221914,198,0.06865464632454923,90,0.031206657420249653
0500000US28019,"Choctaw County, Mississippi",1852.0,1737,0.9379049676025918,0,0.0,31,0.01673866090712743,21,0.011339092872570195,63,0.03401727861771058
0500000US28057,"Itawamba County, Mississippi",5667.0,5109,0.9015352038115405,0,0.0,53,0.009352391035821422,204,0.035997882477501325,301,0.053114522675136756
0500000US28015,"Carroll County, Mississippi",1266.0,1143,0.9028436018957346,0,0.0,8,0.00631911532385466,20,0.01579778830963665,95,0.0750394944707741
0500000US28043,"Grenada County, Mississippi",9238.0,8888,0.9621130114743451,23,0.0024897163888287508,146,0.015804286642130332,114,0.012340333405499025,67,0.007252652089196796
0500000US28063,"Jefferson County, Mississippi",1341.0,1264,0.9425801640566741,0,0.0,35,0.02609992542878449,9,0.006711409395973154,33,0.024608501118568233
0500000US28041,"Greene County, Mississippi",1961.0,1841,0.9388067312595615,0,0.0,22,0.011218765935747067,71,0.03620601733809281,27,0.013768485466598673
0500000US28093,"Marshall County, Mississippi",8319.0,7239,0.870176703930761,36,0.00432744320230797,181,0.021757422767159515,87,0.010457987738910927,776,0.09328044236086068
0500000US28119,"Quitman County, Mississippi",1359.0,1261,0.927888153053716,0,0.0,39,0.02869757174392936,3,0.002207505518763797,56,0.041206769683590876
0500000US28011,"Bolivar County, Mississippi",8934.0,8322,0.931497649429147,14,0.0015670472352809493,232,0.025968211327512872,82,0.009178419520931274,284,0.03178867248712783
0500000US28073,"Lamar County, Mississippi",21354.0,19237,0.9008616652617777,24,0.00112391121101433,271,0.012690830757703475,1250,0.05853704224032968,572,0.026786550529174863
0500000US28081,"Lee County, Mississippi",45875.0,44381,0.967433242506812,56,0.001220708446866485,302,0.006583106267029973,307,0.006692098092643052,829,0.0180708446866485
0500000US28113,"Pike County, Mississippi",14009.0,13323,0.9510314797630095,61,0.0043543436362338496,176,0.012563352130773075,293,0.02091512599043472,156,0.011135698479548862
0500000US28135,"Tallahatchie County, Mississippi",2633.0,2300,0.8735282947208507,0,0.0,124,0.047094568932776304,8,0.0030383592859855677,201,0.07633877706038739
0500000US28129,"Smith County, Mississippi",4199.0,3713,0.8842581567039771,48,0.011431293165039295,78,0.018575851393188854,132,0.03143605620385806,228,0.05429864253393665
0500000US28131,"Stone County, Mississippi",5034.0,4354,0.8649185538339292,77,0.015295987286452126,145,0.028804131903059197,386,0.07667858561779897,72,0.014302741358760428
0500000US28149,"Warren County, Mississippi",18696.0,18060,0.9659820282413351,27,0.0014441591784338896,171,0.009146341463414634,233,0.012462558836114676,205,0.010964912280701754
0500000US28023,"Clarke County, Mississippi",2947.0,2696,0.9148286392941974,0,0.0,30,0.01017984390906006,143,0.04852392263318629,78,0.02646759416355616
0500000US28069,"Kemper County, Mississippi",2767.0,2574,0.9302493675460788,0,0.0,46,0.016624503071919046,130,0.046982291290206,17,0.006143838091796169
0500000US28097,"Montgomery County, Mississippi",2331.0,2150,0.9223509223509223,0,0.0,21,0.009009009009009009,18,0.007722007722007722,142,0.060918060918060915
0500000US28105,"Oktibbeha County, Mississippi",18410.0,17412,0.9457903313416621,77,0.004182509505703422,167,0.009071156979902227,188,0.010211841390548615,566,0.030744160782183595
0500000US28109,"Pearl River County, Mississippi",11073.0,9863,0.8907251873927572,0,0.0,227,0.020500316084168697,247,0.022306511333875192,736,0.06646798518919896
0500000US28079,"Leake County, Mississippi",4364.0,3988,0.9138405132905592,22,0.005041246562786435,157,0.03597616865261228,61,0.013978001833180568,136,0.031164069660861594
0500000US28103,"Noxubee County, Mississippi",2414.0,2278,0.9436619718309859,0,0.0,10,0.004142502071251036,25,0.010356255178127589,101,0.04183927091963546
0500000US28099,"Neshoba County, Mississippi",10438.0,9728,0.9319793063805327,58,0.005556620042153669,246,0.023567733282237976,278,0.02663345468480552,128,0.012262885610270167
0500000US28121,"Rankin County, Mississippi",61058.0,58261,0.9541910969897475,53,0.0008680271217530873,413,0.0067640604015853775,591,0.009679321301058011,1740,0.028497494185856072
0500000US28137,"Tate County, Mississippi",5900.0,5453,0.9242372881355932,0,0.0,124,0.021016949152542375,85,0.01440677966101695,238,0.04033898305084746
0500000US28077,"Lawrence County, Mississippi",3161.0,2874,0.9092059474849731,0,0.0,61,0.019297690604239165,0,0.0,226,0.07149636191078773
0500000US28107,"Panola County, Mississippi",10151.0,9636,0.9492660821593931,8,0.0007880996946113683,70,0.006895872327849473,14,0.0013791744655698946,423,0.0416707713525761
0500000US28161,"Yalobusha County, Mississippi",3188.0,3100,0.972396486825596,9,0.0028230865746549563,38,0.01191969887076537,16,0.005018820577164366,25,0.007841907151819323
0500000US28017,"Chickasaw County, Mississippi",5140.0,4902,0.9536964980544748,11,0.0021400778210116734,43,0.008365758754863813,52,0.010116731517509728,132,0.025680933852140077
0500000US28029,"Copiah County, Mississippi",7091.0,6794,0.9581159215907489,9,0.0012692144972500353,126,0.017769002961500493,35,0.004935834155972359,127,0.017910026794528276
0500000US28039,"George County, Mississippi",4186.0,3644,0.8705207835642619,30,0.00716674629718108,63,0.015050167224080268,99,0.023650262780697564,350,0.08361204013377926
0500000US28049,"Hinds County, Mississippi",106252.0,101192,0.952377367014268,490,0.004611677897827806,1323,0.012451530324135075,895,0.008423370854195686,2352,0.022136053909573468
0500000US28101,"Newton County, Mississippi",4850.0,4564,0.9410309278350516,8,0.0016494845360824743,72,0.014845360824742268,119,0.024536082474226804,87,0.017938144329896908
0500000US28145,"Union County, Mississippi",11191.0,10949,0.978375480296667,0,0.0,91,0.008131534268608704,66,0.005897596282727191,85,0.007595389151997141
0500000US28125,"Sharkey County, Mississippi",1026.0,976,0.9512670565302144,21,0.02046783625730994,22,0.021442495126705652,0,0.0,7,0.00682261208576998
0500000US28139,"Tippah County, Mississippi",6945.0,6384,0.9192224622030237,19,0.0027357811375089995,84,0.012095032397408207,107,0.015406767458603312,351,0.05053995680345572
0500000US28035,"Forrest County, Mississippi",36895.0,34014,0.9219135384198401,156,0.004228215205312373,431,0.01168179970185662,1991,0.05396395175498035,303,0.008212494918010571
0500000US28045,"Hancock County, Mississippi",15491.0,14556,0.9396423729907688,0,0.0,140,0.00903750564844103,313,0.02020528048544316,482,0.031114840875346977
0500000US28071,"Lafayette County, Mississippi",22395.0,20796,0.9286001339584729,179,0.007992855548113418,375,0.016744809109176157,424,0.01893279749944184,621,0.027729403884795712
0500000US28055,"Issaquena County, Mississippi",,,,,,,,,,,
0500000US28087,"Lowndes County, Mississippi",26593.0,25330,0.9525062986500207,17,0.0006392659722483361,121,0.0045500695671793325,272,0.010228255555973377,853,0.03207611025457827
0500000US28083,"Leflore County, Mississippi",10878.0,10406,0.9566096708953852,68,0.006251149108291966,104,0.009560580989152417,37,0.003401360544217687,263,0.02417723846295275
0500000US28157,"Wilkinson County, Mississippi",1699.0,1592,0.937021777516186,5,0.002942907592701589,0,0.0,27,0.015891701000588582,75,0.04414361389052384
0500000US28047,"Harrison County, Mississippi",90035.0,85586,0.9505858832676182,362,0.004020658632753929,957,0.010629199755650581,1038,0.01152884989170878,2092,0.023235408452268562
0500000US28065,"Jefferson Davis County, Mississippi",2028.0,1855,0.9146942800788954,33,0.016272189349112426,87,0.042899408284023666,16,0.007889546351084813,37,0.01824457593688363
0500000US28085,"Lincoln County, Mississippi",10883.0,10320,0.9482679408251401,26,0.002389047137737756,48,0.004410548561977396,257,0.023614812092253974,232,0.021317651382890747
0500000US28123,"Scott County, Mississippi",9672.0,9224,0.9536807278742763,127,0.013130686517783293,74,0.007650951199338296,65,0.006720430107526882,182,0.01881720430107527
0500000US28159,"Winston County, Mississippi",4666.0,4376,0.9378482640377197,19,0.0040720102871838835,101,0.021645949421345907,121,0.025932276039434207,49,0.01050150021431633
0500000US28163,"Yazoo County, Mississippi",5570.0,5257,0.9438061041292639,0,0.0,91,0.016337522441651705,69,0.012387791741472172,153,0.02746858168761221
0500000US28009,"Benton County, Mississippi",1015.0,943,0.929064039408867,0,0.0,14,0.013793103448275862,3,0.002955665024630542,55,0.054187192118226604
0500000US28037,"Franklin County, Mississippi",1722.0,1546,0.8977932636469221,0,0.0,60,0.03484320557491289,55,0.03193960511033682,61,0.03542392566782811
0500000US28061,"Jasper County, Mississippi",3867.0,3667,0.9482803206620118,4,0.001034393586759762,75,0.019394879751745538,81,0.02094647013188518,40,0.01034393586759762
0500000US28067,"Jones County, Mississippi",26997.0,25728,0.9529947771974664,90,0.00333370374486054,390,0.01444604956106234,495,0.01833537059673297,294,0.010890098899877763
0500000US28095,"Monroe County, Mississippi",9354.0,8597,0.9190720547359419,13,0.0013897797733589908,103,0.011011332050459696,6,0.0006414368184733803,635,0.06788539662176608
0500000US28133,"Sunflower County, Mississippi",7244.0,6716,0.9271120927664274,21,0.0028989508558807287,270,0.037272225289895086,129,0.017807840971838764,108,0.014908890115958034
0500000US28155,"Webster County, Mississippi",2527.0,2400,0.9497427779976256,14,0.00554016620498615,21,0.008310249307479225,57,0.022556390977443608,35,0.013850415512465374
0500000US28001,"Adams County, Mississippi",10480.0,9893,0.9439885496183206,79,0.007538167938931297,98,0.00935114503816794,98,0.00935114503816794,312,0.029770992366412213
0500000US28025,"Clay County, Mississippi",5169.0,4674,0.9042367962855484,11,0.0021280711936544788,102,0.019733023795705164,50,0.00967305088024763,332,0.06422905784484427
0500000US28031,"Covington County, Mississippi",4969.0,4682,0.9422418997786275,52,0.010464882270074461,89,0.017911048500704366,86,0.017307305292815454,60,0.012074864157778226
0500000US28053,"Humphreys County, Mississippi",1870.0,1768,0.9454545454545454,5,0.00267379679144385,27,0.014438502673796792,31,0.016577540106951873,39,0.02085561497326203
